Licensee,Type of License,Address,City/Town,Phone,Capacity,Indoor,Patio,On Tap?
BYZANTIUM,Restaurant,499 CHURCH ST                            (ABOVE IS CONV. ADDRESS FOR 491)	 	TORONTO	 	ON M4Y 2C6,TORONTO,416-922-3859,240,222,18,
C J'S BILLIARDS AND SPORTS BAR,Bar/Sports Bar,1530 ALBION ROAD                         UNIT 34A	 	TORONTO	 	ON M9V 1B4,TORONTO,416-741-4615,200,200,0,
C.G'S. HIDEAWAY,Restaurant,180 YORKLAND BLVD	 	TORONTO	 	ON M2J 1R5,TORONTO,416-491-2443,850,850,0,
C'EST BON CHINESE RESTAURANT,Restaurant,2140 YONGE ST	 	TORONTO	 	ON M4S 2A8,TORONTO,416-849-2213,70,42,28,
C'EST BON INTERNATIONAL FAST FOOD,Restaurant,2685 YONGE ST	 	TORONTO	 	ON M4N 2H8,TORONTO,416-932-2811,37,24,13,
C'EST WHAT?,Restaurant,67 FRONT ST E	 	TORONTO	 	ON M5E 1B5,TORONTO,416-867-9791,344,344,0,
CABO VERDE BAR & RESTAURANT,Restaurant,215 OSSINGTON AVE	 	TORONTO	 	ON M6J 2Z8,TORONTO,416-707-0083,33,33,0,
CACTUS PETE'S BAR AND GRILL,Restaurant,462 BIRCHMOUNT ROAD                      UNIT 9	 	TORONTO	 	ON M1K 1N8,TORONTO,416-698-4115,554,459,95,
CADILLAC LOUNGE,Restaurant/Bar,1296 QUEEN ST W	 	TORONTO	 	ON M6K 1L4,TORONTO,416-876-2751,363,159,204,
CAFE ARC DE TRIOMPHE,Restaurant,5813 YONGE ST	 	TORONTO	 	ON M2M 3T9,TORONTO,416-850-9201,30,30,0,
CAFE ASIA,Restaurant,100 FRONT ST E                           UNIT 105	 	TORONTO	 	ON M5A 1E1,TORONTO,416-955-0963,46,35,11,
CAFE BAR AZZURRI,Restaurant,598 COLLEGE ST	 	TORONTO	 	ON M6G 1B4,TORONTO,416-532-9837,72,72,0,
CAFE CALIFORNIA RESTAURANT & GRILL,Restaurant,538 CHURCH ST	 	TORONTO	 	ON M4Y 2E1,TORONTO,416-960-6161,119,72,47,
CAFE CAPO CACCIA,Restaurant,1366 YONGE ST                            UNIT 105	 	TORONTO	 	ON M4T 3A7,TORONTO,416-921-3141,144,118,26,
CAFE CINQUECENTO,Restaurant,791 KING ST W	 	TORONTO	 	ON M5V 1N4,TORONTO,416-203-9390,45,30,15,
CAFE CREPE,Restaurant,246 QUEEN ST W	 	TORONTO	 	ON M5V 1Z7,TORONTO,416-260-1611,52,52,0,
CAFE DE NICE,Restaurant,668 SILVER STAR BLVD                     SUITE R202	 	TORONTO	 	ON M1V 5N1,TORONTO,416-916-8383,64,64,0,
CAFE DIPLOMATICO RESTAURANT,Restaurant,592-594 COLLEGE ST	 	TORONTO	 	ON M6G 1B3,TORONTO,416-534-4637,207,90,117,
CAFE DO PORTO,Restaurant,894 COLLEGE ST	 	TORONTO	 	ON M6H 1A4,TORONTO,416-588-5952,30,30,0,
CAFE DU LAC,Restaurant,2350 LAKE SHORE BLVD W	 	TORONTO	 	ON M8V 1B6,TORONTO,416-848-7381,36,25,11,
CAFE ENCONTRO,Restaurant,258 LANSDOWNE AVE	 	TORONTO	 	ON M6E 3X9,TORONTO,416-516-7887,136,85,51,
CAFE FLORENTIN,Restaurant,2010 QUEEN ST E	 	TORONTO	 	ON M4L 1J3,TORONTO,647-341-2936,30,30,0,
CAFE FRAPPE BISTRO,Restaurant,519 DANFORTH AVE	 	TORONTO	 	ON M4K 1P5,TORONTO,416-462-0693,152,68,84,
CAFE GRACIOSA & SPORTS BAR,Restaurant,925 WESTON ROAD	 	TORONTO	 	ON M6N 3R4,TORONTO,416-769-4041,86,86,0,
CAFE LA GAFFE,Restaurant,24 BALDWIN ST	 	TORONTO	 	ON M5T 1L2,TORONTO,416-596-2397,93,47,46,
CAFE LE MONDE,Restaurant,5418 YONGE ST                            UNITS 5 & 6	 	TORONTO	 	ON M2N 6J9,TORONTO,416-250-7557,62,46,16,
CAFE LEOPOLD,Restaurant,672A ST CLAIR AVE W	 	TORONTO	 	ON M6C 1B1,TORONTO,416-652-0075,48,48,0,
CAFE LURIN TAPAS,Restaurant,1032 ST CLAIR AVE W                      SECOND FLOOR	 	TORONTO	 	ON M6E 1A5,TORONTO,647-209-8128,59,59,0,
CAFE MAXIM'S PATISSERIE,Restaurant,676B FINCH AVE E                         (CONV. ADDRESS FOR 648 FINCH AVE E)	 	TORONTO	 	ON M2K 2E6,TORONTO,416-730-1080,92,92,0,
CAFE MIRAGE,Restaurant,26 WILLIAM KITCHEN RD                    UNIT 7	 	TORONTO	 	ON M1P 5B7,TORONTO,416-230-9482,249,98,151,
CAFE MIRAGE,Restaurant,4841 YONGE ST                            UNIT 121	 	TORONTO	 	ON M2N 5X2,TORONTO,416-230-9482,109,109,0,
CAFE ON THE SQUARE,Restaurant,100 QUEEN ST. W                          TORONTO CITY HALL	 	TORONTO	 	ON M5H 2N2,TORONTO,416-861-0101,298,195,103,
CAFE PLEIADE,Restaurant,557 MOUNT PLEASANT ROAD	 	TORONTO	 	ON M4S 2M5,TORONTO,416-486-5207,28,28,0,
CAFE POLONEZ RESTAURANT,Restaurant,195 RONCESVALLES AVE.	 	TORONTO	 	ON M6R 2L5,TORONTO,416-532-8432,72,72,0,
CAFE REGIONAL BAR & GRILL,Restaurant,1330 DUNDAS ST W	 	TORONTO	 	ON M6J 1Y1,TORONTO,416-534-6808,66,66,0,
CAFE ROGER MILLA,Restaurant,999 ALBION RD	 	TORONTO	 	ON M9V 1A6,TORONTO,416-574-6161,34,34,0,
CAFE SANTO DOMINGO,Night Club,1562 WESTON ROAD	 	TORONTO	 	ON M9N 1T3,TORONTO,416-242-6677,124,80,44,
CAFE STELLA,Restaurant,1261 BLOOR ST. W	 	TORONTO	 	ON M6H 1N7,TORONTO,416-536-7666,35,35,0,
CAFE SUPREME,Restaurant,"77 KING ST W                             TD CENTRE, ROYAL TRUST TOWER	 	TORONTO	 	ON M5K 1J5",TORONTO,416-368-9696,80,52,28,
CAFE SUPREME,Restaurant,160 BLOOR ST E                           UNIT 110	 	TORONTO	 	ON M4W 1B9,TORONTO,416-413-9677,167,136,31,
CAFE SUPREME,Restaurant (Franchise),207 QUEENS QUAY W                        UNIT 115 QUEEN'S QUAY TERMINAL	 	TORONTO	 	ON M5J 1A7,TORONTO,416-955-4811,54,54,0,
CAFE SWEET GALLERY,Restaurant,694 MOUNT PLEASANT ROAD	 	TORONTO	 	ON M4S 2N3,TORONTO,416-484-9622,123,88,35,
CAFE TASTE,Restaurant,1330 QUEEN ST W	 	TORONTO	 	ON M6K 1L4,TORONTO,416-536-7748,70,29,41,
CAFE THUY KY KARAOKE & BAR,Karaoke Bar/Restaurant,1300 FINCH AVE W                         UNIT 17	 	TORONTO	 	ON M3J 3K2,TORONTO,647-428-7477,54,54,0,
CAFE TWO FIFTY,Restaurant,250 CONSUMERS ROAD                       UNIT 102	 	TORONTO	 	ON M2J 4V6,TORONTO,416-490-1521,157,77,80,
CAFE UNO,Restaurant,55 MILL ST                               COOTERAGE BUILDING 32	 	TORONTO	 	ON M5A 3C4,TORONTO,416-980-2828,140,76,64,
CAFE 668,Restaurant,885 DUNDAS ST W	 	TORONTO	 	ON M6J 1V9,TORONTO,416-703-0668,73,43,30,
CAFE' JOLLY,Restaurant/Bar,165 DUFFERIN ST	 	TORONTO	 	ON M6K 3H6,TORONTO,416-538-3662,81,60,21,
CAFFE DEMETRE,Restaurant,2962 BLOOR ST W	 	TORONTO	 	ON M8X 1B7,TORONTO,416-234-2233,60,60,0,
CAFFE DEMETRE UPTOWN,Restaurant,188 EGLINTON AVE E                       UNIT 104	 	TORONTO	 	ON M4P 2X7,TORONTO,416-485-4610,208,179,29,
CAFFE DORIA,Restaurant,1094 YONGE ST	 	TORONTO	 	ON M4W 2L6,TORONTO,416-920-5315,53,29,24,
CAFFINO INC.,Restaurant,1185 KING ST. W	 	TORONTO	 	ON M6K 3E1,TORONTO,416-588-9010,157,80,77,
CAJU,Restaurant,922 QUEEN ST W	 	TORONTO	 	ON M6J 1G6,TORONTO,416-532-2550,101,101,0,
CAJUN CORNER,Restaurant,214 LAIRD DRIVE                          UNIT 101	 	TORONTO	 	ON M4G 3W4,TORONTO,416-425-2233,67,46,21,
CALDENSE BAKERY & PASTRIES,Restaurant,1209 DUNDAS ST W                         MAIN FLOOR	 	TORONTO	 	ON M6J 1X3,TORONTO,416-534-3847,30,30,0,
CALDENSE BAKERY & PASTRIES IV INC.,Restaurant,2406 EGLINTON AVE W                      UNIT B4	 	TORONTO	 	ON M6M 1S6,TORONTO,416-657-1999,130,88,42,
CALIFORNIA RESTAURANT AND TAVERN,Restaurant,914 PAPE AVE	 	TORONTO	 	ON M4K 3V2,TORONTO,416-461-1251,111,66,45,
CALIFORNIA SANDWICHES,Restaurant,2474 DUFFERIN ST	 	TORONTO	 	ON M6B 3P8,TORONTO,416-787-5205,158,128,30,
CALISTO,Restaurant/Bar,647 COLLEGE ST	 	TORONTO	 	ON M6G 1B7,TORONTO,647-351-7575,210,210,0,
CALPHALON CULINARY CENTER,Restaurant,425 KING ST W	 	TORONTO	 	ON M5V 1K4,TORONTO,416-847-7032,80,80,0,
CALYPSO PALACE,Restaurant,750 OAKDALE RD.                          UNIT 1	 	TORONTO	 	ON M3N 1W1,TORONTO,416-667-8986,30,30,0,
CAM'S PLACE,Restaurant,2655 YONGE ST	 	TORONTO	 	ON M4P 2J6,TORONTO,416-488-3976,113,102,11,
CAMARRA'S PIZZERIA & RESTAURANT,Restaurant,2899 DUFFERIN ST	 	TORONTO	 	ON M6B 3S7,TORONTO,416-789-8944,116,89,27,
CAMBALACHE,Restaurant,505 MOUNT PLEASANT ROAD	 	TORONTO	 	ON M4S 2L9,TORONTO,416-916-3930,40,40,0,
CAMBRIDGE CLUB,Restaurant,100 RICHMOND ST W                        11TH FLOOR	 	TORONTO	 	ON M5H 3K6,TORONTO,416-862-1077,124,124,0,
CAMBRIDGE SUITES HOTEL,Hotel/Motel,15 RICHMOND ST E	 	TORONTO	 	ON M5C 1N2,TORONTO,416-368-1990,338,338,0,
CAMERA PARTS,Banquet Hall,1026 QUEEN ST W	 	TORONTO	 	ON M6J 1H6,TORONTO,416-530-0011,140,140,0,
CAMERINI,Restaurant,709 MOUNT PLEASANT ROAD	 	TORONTO	 	ON M4S 2N4,TORONTO,416-483-6784,34,34,0,
CAMERON HOUSE,Bar/Sports Bar,408 QUEEN ST W	 	TORONTO	 	ON M5V 2A7,TORONTO,416-703-0811,139,133,6,
CAMP 4,Restaurant/Bar,1173 DUNDAS ST W	 	TORONTO	 	ON M6J 1X3,TORONTO,416-809-3757,43,43,0,
CAMPITELLO MATESE SOCIAL CLUB OF TORONTO,Social Club,570 ROGERS ROAD                          MAIN FLOOR	 	TORONTO	 	ON M6M 1B6,TORONTO,647-344-5570,58,46,12,
CAMTO,Restaurant,692 BLOOR ST W	 	TORONTO	 	ON M6G 1L4,TORONTO,416-588-5142,66,66,0,
CANADIAN CARIBBEAN CATERING,Restaurant,1598 QUEEN ST W	 	TORONTO	 	ON M6R 1A8,TORONTO,416-538-6292,25,25,0,
CANADIAN CORPS ASSOC (ONTARIO COMM),Restaurant,201 NIAGARA ST.	 	TORONTO	 	ON M5V 1C9,TORONTO,416-504-6694,328,328,0,
CANADIAN STAGE COMPANY,Theatre,26 BERKELEY ST.	 	TORONTO	 	ON M5A 2W3,TORONTO,416-367-8243,196,98,98,
CANAMAC CRUISES 2008,Boat,TORONTO HARBOUR                          (AND FOOT OF OUELLETTE AVE.	 	TORONTO	 	ON M5V 2Y2,TORONTO,416-214-2774,520,260,260,
CANE GROVE RESTAURANT,Restaurant,2356 FINCH AVE W	 	TORONTO	 	ON M9M 2C7,TORONTO,416-743-4776,220,172,48,
CANECAS CAFE,Restaurant,605 ROGERS ROAD                          UNIT D6	 	TORONTO	 	ON M6M 1B9,TORONTO,416-652-3085,100,84,16,
CANOE RESTAURANT & BAR,Restaurant,66 WELLINGTON ST W                       TORONTO DOMINION CENTRE	 	TORONTO	 	ON M5K 1E7,TORONTO,416-364-0054,202,202,0,
CANON THEATRE,Theatre,244 VICTORIA ST.	 	TORONTO	 	ON M5B 1V8,TORONTO,416-362-3218,2945,2945,0,
CANTINE BAR AND GRILL,Restaurant,138 AVENUE ROAD	 	TORONTO	 	ON M5R 2H6,TORONTO,416-923-4822,40,40,0,
CANTON CHILLI RESTAURANT,Restaurant,418 SPADINA AVE.	 	TORONTO	 	ON M5T 2G7,TORONTO,416-595-8288,72,72,0,
CANYON CREEK CHOP HOUSE,Restaurant,1900 THE QUEENSWAY	 	TORONTO	 	ON M9C 5H5,TORONTO,416-621-6255,384,308,76,
CANYON CREEK CHOPHOUSE,Restaurant/Bar,156 FRONT ST W	 	TORONTO	 	ON M5J 2L6,TORONTO,416-596-2240,270,270,0,
CAPITOL CAFE & RESTAURANT,Restaurant,597 COLLEGE ST	 	TORONTO	 	ON M6G 1B5,TORONTO,416-534-2942,126,56,70,
CAPITOL PLACE,Theatre,2492 YONGE ST	 	TORONTO	 	ON M4P 2H5,TORONTO,416-322-3322,630,630,0,
CAPLANSKY'S DELICATESSEN,Restaurant,356 COLLEGE ST	 	TORONTO	 	ON M5T 1S6,TORONTO,416-500-3852,90,90,0,
CAPT. MATTHEW FLINDERS,Boat,QUEENS QUAY W                            HARBOURFRONT	 	TORONTO	 	ON M5J 1A7,TORONTO,416-203-0178,0,0,0,
CAPTAIN JACK,Restaurant,2 WHEELER AVE.	 	TORONTO	 	ON M4L 3V2,TORONTO,416-691-5433,79,60,19,
CAPTAIN JACK'S,Restaurant,1521 QUEEN ST W                          UNIT 106	 	TORONTO	 	ON M6R 1A5,TORONTO,647-878-7501,35,35,0,
CAPTAIN JOHN'S FLAGSHIP,Restaurant,1 QUEENS QUAY W	 	TORONTO	 	ON M5J 2H1,TORONTO,416-363-6062,555,393,162,
CARENS WINE AND CHEESE BAR,Restaurant,158 CUMBERLAND ST.	 	TORONTO	 	ON M5R 1A8,TORONTO,416-962-5158,115,52,63,
CARIB CIRCLE,Restaurant,562 ROGERS ROAD	 	TORONTO	 	ON M6M 1B6,TORONTO,416-657-8859,40,40,0,
CARIBBEAN PALMS RESTAURANT,Restaurant,747 DON MILLS RD                         UNIT #25	 	TORONTO	 	ON M3C 1T2,TORONTO,416-421-5777,55,55,0,
CARIBBEAN PEARL (THE),Restaurant,787 LAWRENCE AVE W	 	TORONTO	 	ON M6A 1C2,TORONTO,647-435-1262,44,44,0,
CARIBBEAN TROPIX,Restaurant,3585 KEELE ST                            UNIT 10	 	TORONTO	 	ON M3J 3H5,TORONTO,416-398-0700,60,60,0,
CARIBBEAN WAVE RESTAURANT & BAR,Restaurant,"875 MILNER AVE                           UNIT 106, 107	 	TORONTO	 	ON M1B 5N6",TORONTO,416-286-9283,113,113,0,
CARLA'S SPORTS BAR,Restaurant,768 DUNDAS ST W	 	TORONTO	 	ON M6J 1T8,TORONTO,416-203-6172,105,105,0,
CARLO'S SNACK BAR,Restaurant,818 COLLEGE ST	 	TORONTO	 	ON M6G 1C8,TORONTO,416-538-6379,167,167,0,
CARLTON CINEMA CAFE,Restaurant,20 CARLTON ST	 	TORONTO	 	ON M5B 2H5,TORONTO,416-598-2197,154,154,0,
CARLTON LOUNGE (THE),Restaurant,456 WELLINGTON ST W	 	TORONTO	 	ON M5V 1E3,TORONTO,416-542-3789,735,521,214,
CARLU CORPORATION (THE),Restaurant,444 YONGE ST                             7TH FLOOR	 	TORONTO	 	ON M5B 2H4,TORONTO,416-597-1931,5152,5152,0,
CARMAN'S CLUB,Restaurant,26 ALEXANDER ST	 	TORONTO	 	ON M4Y 1B4,TORONTO,416-924-6306,183,183,0,
CAROLE'S CAFE & KITCHEN,Restaurant,109 ATLANTIC AVE                         D 115	 	TORONTO	 	ON M6K 1X9,TORONTO,905-536-1347,100,40,60,
CAROUSEL CAFE,Restaurant,"LAKE SHORE AVE                           BUILDING 30, CENTRE ISLAND	 	TORONTO	 	ON M5J 1X7",TORONTO,416-234-2345,343,133,210,
CARPE DIEM,Restaurant,263 KING ST E	 	TORONTO	 	ON M5A 1K2,TORONTO,647-501-8706,14,14,0,
CASA DA RAMBOIA,Restaurant,1282 DUNDAS ST W	 	TORONTO	 	ON M6J 1X7,TORONTO,416-534-0407,77,77,0,
CASA DAS BEIRAS CULTURAL AND COMMUNITY CENTRE,Restaurant,34 CALEDONIA ROAD	 	TORONTO	 	ON M6E 4S4,TORONTO,416-604-1125,353,353,0,
CASA DI GIORGIO RISTORANTE,Restaurant,517 MOUNT PLEASANT ROAD	 	TORONTO	 	ON M4S 2M4,TORONTO,416-544-9444,33,33,0,
CASA DI GIORGIOS,Restaurant,1646 QUEEN ST. E	 	TORONTO	 	ON M4L 1G3,TORONTO,416-686-7066,59,29,30,
CASA DO ALENTEJO COMMUNITY CENTRE,Restaurant,1130 DUPONT ST	 	TORONTO	 	ON M6H 2A2,TORONTO,416-537-7766,497,365,132,
CASA MANILA,Restaurant,879 YORK MILLS ROAD                      UNIT 1	 	TORONTO	 	ON M3B 1Y5,TORONTO,416-443-9654,78,78,0,
CASA MENDONCA GRILL BAR,Restaurant,1063 BLOOR ST W	 	TORONTO	 	ON M6H 1M5,TORONTO,416-532-2222,41,41,0,
CASA MENDOZA RESTAURANT & INN - OASIS ON THE LAKE,Hotel/Motel,2161 LAKE SHORE BLVD W	 	TORONTO	 	ON M8V 1A1,TORONTO,416-259-3756,590,316,274,
CASADI GIORGIO,Restaurant,1421 DANFORTH AVE	 	TORONTO	 	ON M4J 1N3,TORONTO,416-469-8155,113,86,27,
CASCAIS BAKERY,Restaurant,1728 EGLINTON AVE W	 	TORONTO	 	ON M6E 2H5,TORONTO,416-256-7833,78,78,0,
CASEY'S BAR & GRILL,Restaurant,3401 DUFFERIN ST	 	TORONTO	 	ON M6A 2T9,TORONTO,416-789-1823,310,310,0,
CASEY'S BAR & GRILL,Restaurant,200 DUNDAS ST E	 	TORONTO	 	ON M5A 4R6,TORONTO,416-955-0238,211,179,32,
CASEY'S BAR.GRILL,Restaurant,10 LEBOVIC AVE                           UNIT 8 (CITY OF SCARBOROUGH)	 	TORONTO	 	ON M1L 4V9,TORONTO,416-285-5330,270,190,80,
CASEY'S BAR.GRILL,Restaurant,123 FRONT ST W                           CITIBANK PLAZA	 	TORONTO	 	ON M5J 2M2,TORONTO,416-955-4550,357,210,147,
CASPI RESTAURANT,Restaurant,2727 STEELES AVE W                       UNIT 101	 	TORONTO	 	ON M3J 3G9,TORONTO,416-661-2788,22,22,0,
CASTELO SPORTS BAR INC.,Restaurant,1468 ST CLAIR AVE W	 	TORONTO	 	ON M6E 1C6,TORONTO,416-721-3172,73,73,0,
CASTLE DRAGON RESTAURANT,Restaurant,308 DUPONT ST	 	TORONTO	 	ON M5R 1V9,TORONTO,416-968-9366,28,28,0,
CASTRO'S LOUNGE,Restaurant,2116E QUEEN ST E	 	TORONTO	 	ON M4E 1E2,TORONTO,416-699-8272,35,35,0,
CATAPLANA RESTAURANT FINE DINING,Restaurant,938 COLLEGE ST	 	TORONTO	 	ON M6H 1A4,TORONTO,416-538-1562,135,135,0,
CAULONIA COMMUNITY CENTRE CLUB,Restaurant,2907 DUNDAS ST W	 	TORONTO	 	ON M6P 1Z1,TORONTO,416-762-2896,150,150,0,
CAVA,Restaurant,1560 YONGE ST	 	TORONTO	 	ON M4T 2S9,TORONTO,416-979-9918,106,96,10,
CAVALLINO SPORTS CAFE,Bar/Sports Bar,930 THE QUEENSWAY	 	TORONTO	 	ON M8Z 1P4,TORONTO,416-252-7222,109,95,14,
CAYMAN RESTAURANT & BAR,Restaurant,750 OAKDALE ROAD                         UNIT 7	 	TORONTO	 	ON M3N 2Z4,TORONTO,416-747-1468,94,94,0,
CEILI COTTAGE (THE),Restaurant/Bar,1301 QUEEN ST E	 	TORONTO	 	ON M4L 1C2,TORONTO,416-406-1301,100,60,40,
CELEBRATIONS BANQUET HALL,Restaurant,174 BARTLEY DRIVE                        UNIT 2	 	TORONTO	 	ON M4A 1E1,TORONTO,416-759-7772,300,300,0,
CELEBRITY CLUB - P.A.L.,Restaurant,110 THE ESPLANADE	 	TORONTO	 	ON M5E 1X9,TORONTO,416-955-1892,50,50,0,
CELESTIN,Restaurant,623 MOUNT PLEASANT ROAD	 	TORONTO	 	ON M4S 2M9,TORONTO,416-544-9035,152,99,53,
CELLINE GARDEN RESTAURANT,Restaurant,972 QUEEN ST. E	 	TORONTO	 	ON M4M 1K1,TORONTO,416-463-2303,64,64,0,
CENTENNIAL COLLEGE OF APPLIED ARTS AND TECHNOLOGY,Hotel/Motel,940 PROGRESS AVE	 	TORONTO	 	ON M1G 3T8,TORONTO,416-438-2216,821,821,0,
CENTENNIAL COLLEGE STUDENT CENTRE,Restaurant,941 PROGRESS AVE                         (CITY OF SCARBOROUGH)	 	TORONTO	 	ON M1G 3T8,TORONTO,416-289-5262,695,570,125,
CENTRAL BAR & GRILL,Restaurant,1946-48 WESTON ROAD	 	TORONTO	 	ON M9N 1W2,TORONTO,416-241-2327,114,114,0,
CENTRAL BILLIARDS,Restaurant,468 QUEEN ST W	 	TORONTO	 	ON M5V 2B2,TORONTO,416-504-9494,214,214,0,
CENTRAL JAZZ AND SUPPER CLUB,Restaurant,603 MARKHAM ST	 	TORONTO	 	ON M6G 2L7,TORONTO,416-913-4586,150,86,64,
CENTRO RESTAURANT AND LOUNGE,Restaurant,2472 YONGE ST	 	TORONTO	 	ON M4P 2H5,TORONTO,416-483-2211,374,374,0,
CENTURY ROOM,Bar /Tavern /Nightclub,580 KING ST W	 	TORONTO	 	ON M5V 1M3,TORONTO,416-203-2226,519,459,60,
CEO BISTRO AND MARTINI LOUNGE,Hotel/Motel,1926 LAKESHORE BLVD W	 	TORONTO	 	ON M6S 1A1,TORONTO,416-766-4392,54,54,0,
CERVEJARIA DOWNTOWN INC.,Restaurant,842 COLLEGE ST	 	TORONTO	 	ON M6H 1A2,TORONTO,416-588-0162,231,231,0,
CERVEJARIA VALE DE ACORES,Night Club,1675 ST CLAIR AVE W	 	TORONTO	 	ON M6N 1H9,TORONTO,416-656-0048,43,43,0,
CHA LIU THE DIM SUM SHOP,Restaurant,2352 YONGE ST                            2ND FLOOR	 	TORONTO	 	ON M4P 2E6,TORONTO,416-485-1725,57,57,0,
CHALLENGE,Boat,QUEENS QUAY W                            HARBOURFRONT	 	TORONTO	 	ON M5J 2G2,TORONTO,416-260-6377,0,0,0,
CHAMPIONS ON THE DANFORTH,Restaurant,1075 DANFORTH AVE	 	TORONTO	 	ON M4J 1M1,TORONTO,416-462-2293,97,97,0,
CHAMPIONS TELE-WAGERING IN CHINATOWN,Gaming Facility,421-429 DUNDAS ST W                      BASEMENT	 	TORONTO	 	ON M5T 2W4,TORONTO,416-977-3639,212,212,0,
CHANNAMAN'S CARIBBEAN CORNER RESTAURANT,Restaurant,2480 EGLINTON AVE. E                     UNIT #9	 	TORONTO	 	ON M1K 2R4,TORONTO,416-266-4591,24,24,0,
CHAPPA CORNER CAFE,Restaurant,1340 ST CLAIR AVE W	 	TORONTO	 	ON M6E 1C4,TORONTO,416-652-6134,154,120,34,
CHARLESTON'S RESTAURANT,Bar/Sports Bar,1674 DUFFERIN ST	 	TORONTO	 	ON M6H 3M1,TORONTO,416-652-1042,111,111,0,
CHARLEY T'S,Restaurant,1111 FINCH AVE W	 	TORONTO	 	ON M3J 2E5,TORONTO,416-665-4600,314,314,0,
CHARLIE'S,Restaurant,132 QUEENS QUAY E	 	TORONTO	 	ON M5A 3Y5,TORONTO,416-869-9444,170,170,0,
CHARLIE'S GALLERY,Restaurant,112 HARBORD ST	 	TORONTO	 	ON M5S 1G6,TORONTO,416-821-6097,30,30,0,
CHARLOTTE ROOM (THE),Billiard Hall,19 CHARLOTTE ST                          UNIT 103	 	TORONTO	 	ON M5V 2H5,TORONTO,416-598-2882,180,150,30,
CHARMY FISH & CHIPS,Restaurant,1549 O'CONNOR DRIVE	 	TORONTO	 	ON M4B 2V7,TORONTO,416-751-7550,47,47,0,
CHASE WINE AND GRILL,Restaurant,3471A YONGE ST	 	TORONTO	 	ON M4N 2N3,TORONTO,416-440-0211,60,60,0,
CHATEAU BAR & GRILL,Billiard Hall,1157 ST CLAIR AVE W	 	TORONTO	 	ON M6E 1B2,TORONTO,416-319-7165,186,156,30,
CHEERS KARAOKE & BAR,Restaurant,3550 VICTORIA PARK AVE                   UNITS 1 & 2	 	TORONTO	 	ON M2H 2N5,TORONTO,,256,228,28,
CHEF OF INDIA,Restaurant,30 EGLINTON AVE E	 	TORONTO	 	ON M4P 1A6,TORONTO,416-485-5552,97,97,0,
"CHEF OF INDIA, INDIAN DINING",Restaurant,1415 YONGE ST	 	TORONTO	 	ON M4T 1Y7,TORONTO,416-944-8885,100,100,0,
CHEF UPSTAIRS INC. (THE),Restaurant,516 MOUNT PLEASANT ROAD	 	TORONTO	 	ON M4S 2M2,TORONTO,416-544-9221,29,29,0,
CHEGA,Restaurant,3391 YONGE ST	 	TORONTO	 	ON M4N 2M8,TORONTO,416-850-5118,147,134,13,
CHERRY COLA'S ROCK AND ROLL CABARET LOUNGE,Restaurant,200 BATHURST ST	 	TORONTO	 	ON M5T 2R8,TORONTO,647-428-7273,98,98,0,
CHEVAL NIGHT CLUB BAR,Night Club,604 KING ST W	 	TORONTO	 	ON M5V 1M6,TORONTO,416-361-1880,396,270,126,
CHEW CHEW'S DINER,Restaurant,186 CARLTON ST	 	TORONTO	 	ON M5A 2K6,TORONTO,416-924-7583,76,76,0,
CHEZ LE BELLE AFRICAINE,Restaurant,1239 WESTON ROAD	 	TORONTO	 	ON M6M 4P7,TORONTO,416-235-0606,40,40,0,
CHEZ VICTOR,Restaurant,30 MERCER ST	 	TORONTO	 	ON M5V 1H3,TORONTO,416-345-9500,306,300,6,
CHIADO RESTAURANT,Restaurant,864 COLLEGE ST	 	TORONTO	 	ON M6H 1A3,TORONTO,416-538-1910,80,80,0,
CHIC CHINOISE,Restaurant,214 KING ST W	 	TORONTO	 	ON M5H 3S6,TORONTO,416-585-2221,275,275,0,
CHICK-N-BURGER RESTAURANT,Restaurant,2203 KINGSTON RD	 	TORONTO	 	ON M1N 1T7,TORONTO,416-261-8383,37,23,14,
CHICK'N DELI RESTAURANT,Restaurant,744 MOUNT PLEASANT ROAD	 	TORONTO	 	ON M4S 2N6,TORONTO,416-489-7931,220,185,35,
CHICKEN NEST,Restaurant,3038 BATHURST ST	 	TORONTO	 	ON M6B 4K2,TORONTO,416-787-6378,61,61,0,
CHICO'S PLACE,Restaurant,90 TURBINE DRIVE                         UNIT 2	 	TORONTO	 	ON M9L 2S2,TORONTO,416-743-0000,162,110,52,
CHIMICHANGA MEXICAN GRILL & TEQUILA BAR,Restaurant,2360 YONGE ST	 	TORONTO	 	ON M4P 2E6,TORONTO,416-480-2466,114,114,0,
CHIMICHANGA MEXICAN GRILL & TEQUILA BAR,Restaurant,70 YORKVILLE AVE                         (BASEMENT)	 	TORONTO	 	ON M5R 1B9,TORONTO,416-480-2446,80,80,0,
CHINA COTTAGE RESTAURANT,Restaurant,80 ELLESMERE RD                          UNIT 11	 	TORONTO	 	ON M1R 4C2,TORONTO,416-445-6721,35,35,0,
CHINA GARDEN RESTAURANT,Restaurant,200 BLOOR ST W                           UNIT 202	 	TORONTO	 	ON M5S 1T8,TORONTO,416-927-8888,80,80,0,
CHINA HOUSE TAVERN,Restaurant,925 EGLINTON AVE W	 	TORONTO	 	ON M6C 2C3,TORONTO,416-781-9121,225,225,0,
